,T.NAGAR,SAIDAPET  ,GUINDY    ,CONCORDE  ,JN.OF R.C ,GURUNANAK ,VELACHERY ,TARAMANI  ,ANNA UNIVE,WPTC      ,SRP TOOLS ,KANDANCHAV,THORAIPAKK,MOOTAIKARA,KARAPAKKAM,SHOZHINGAN,KUMARAN NA,NUCLEUS CO,PERUMBAKKA,CHEMMANCHE,NAVALUR   ,CHURCH    ,SIRUCHERI ,PAL. CHEMI,HINDUSTAN ,KELAMBAKKA,CHENGAMMAL,KALAVAKKAM,THIRUPPORU,TripStartDate,Depot,Source,Destination,Direction,Schedule_Name,Route,Service_type,ETMNO,FLEETNO,TripNo,TripStartTime,TripEndTime,First_Ticket_Stage
PAL. CHEMI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,3,2020-06-23 07:21:00,0.349305556,
HINDUSTAN ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,3,2020-06-23 07:21:00,0.349305556,
KELAMBAKKA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,3,2020-06-23 07:21:00,0.349305556,
CHENGAMMAL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,3,2020-06-23 07:21:00,0.349305556,
KALAVAKKAM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,3,2020-06-23 07:21:00,0.349305556,
THIRUPPORU,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,3,2020-06-23 07:21:00,0.349305556,
T.NAGAR,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
SAIDAPET  ,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.533333333333333,-2.0,-2.0,19.2,23.566666666666666,-2.0,-2.0,33.43333333333333,36.93333333333333,-2.0,-2.0,-2.0,42.25,44.96666666666667,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,2020-06-23 13:10:52
GUINDY    ,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
CONCORDE  ,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
JN.OF R.C ,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
GURUNANAK ,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
VELACHERY ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
TARAMANI  ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
ANNA UNIVE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,13.666666666666666,18.033333333333335,-2.0,-2.0,27.9,31.4,-2.0,-2.0,-2.0,36.71666666666667,39.43333333333333,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,2020-06-23 13:16:24
WPTC      ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
SRP TOOLS ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
KANDANCHAV,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.366666666666666,-2.0,-2.0,14.233333333333333,17.733333333333334,-2.0,-2.0,-2.0,23.05,25.766666666666666,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,2020-06-23 13:30:04
THORAIPAKK,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,9.866666666666667,13.366666666666667,-2.0,-2.0,-2.0,18.683333333333334,21.4,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,2020-06-23 13:34:26
MOOTAIKARA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
KARAPAKKAM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
SHOZHINGAN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3.5,-2.0,-2.0,-2.0,8.816666666666666,11.533333333333333,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,2020-06-23 13:44:18
KUMARAN NA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,5.316666666666666,8.033333333333333,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,2020-06-23 13:47:48
NUCLEUS CO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
PERUMBAKKA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
CHEMMANCHE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
NAVALUR   ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.716666666666667,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,2020-06-23 13:53:07
CHURCH    ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,2020-06-23 13:55:50
SIRUCHERI ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
PAL. CHEMI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
HINDUSTAN ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
KELAMBAKKA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
CHENGAMMAL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
KALAVAKKAM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
THIRUPPORU,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,7,2020-06-23 13:10:06,0.5847916670000001,
T.NAGAR,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
SAIDAPET  ,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,8.5,15.616666666666667,-2.0,22.666666666666668,31.533333333333335,35.43333333333333,-2.0,40.083333333333336,-2.0,-2.0,-2.0,-2.0,-2.0,53.016666666666666,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,2020-06-23 15:52:31
GUINDY    ,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
CONCORDE  ,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
JN.OF R.C ,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
GURUNANAK ,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
VELACHERY ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
TARAMANI  ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
ANNA UNIVE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7.116666666666666,-2.0,14.166666666666666,23.033333333333335,26.933333333333334,-2.0,31.583333333333332,-2.0,-2.0,-2.0,-2.0,-2.0,44.516666666666666,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,2020-06-23 16:01:01
WPTC      ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,7.05,15.916666666666666,19.816666666666666,-2.0,24.466666666666665,-2.0,-2.0,-2.0,-2.0,-2.0,37.4,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,2020-06-23 16:08:08
SRP TOOLS ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
KANDANCHAV,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8.866666666666667,12.766666666666667,-2.0,17.416666666666668,-2.0,-2.0,-2.0,-2.0,-2.0,30.35,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,2020-06-23 16:15:11
THORAIPAKK,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3.9,-2.0,8.55,-2.0,-2.0,-2.0,-2.0,-2.0,21.483333333333334,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,2020-06-23 16:24:03
MOOTAIKARA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,4.65,-2.0,-2.0,-2.0,-2.0,-2.0,17.583333333333332,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,2020-06-23 16:27:57
KARAPAKKAM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
SHOZHINGAN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,12.933333333333334,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,2020-06-23 16:32:36
KUMARAN NA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
NUCLEUS CO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
PERUMBAKKA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,KELAMBAKKA,UP,19B-S-AM-MEX,19B,MEX,MP01063L,J0399,9,2020-06-23 15:43:54,0.703414352,
